#,E_cutoff,=,400
#,N_k,e_total,e_diff
4,-21.719704,,
8,-21.668999,0.050705,0.000211
12,-21.669200,-0.000201,0.000010
16,-21.669220,-0.000020,-0.000010
20,-21.669211,0.000009,-0.000001
24,-21.669213,-0.000002,-0.000003
28,-21.669210,0.000003,0.000000
32,-21.669213,-0.000003,-0.000003
36,-21.669209,0.000004,0.000001
40,-21.669210,-0.000001,0.000000
