#,E_cutoff,=,400
#,N_k,e_total,e_diff
4,-20.644107,,
8,-20.849071,-0.204964,0.022024
12,-20.867636,-0.018565,0.003459
16,-20.871989,-0.004353,-0.000894
20,-20.872272,-0.000283,-0.001177
24,-20.872136,0.000136,-0.001041
28,-20.871820,0.000316,-0.000725
32,-20.871384,0.000436,-0.000289
36,-20.871157,0.000227,-0.000062
40,-20.871095,0.000062,0.000000
